mindsCode,tag,response,index,digit1,digit2,digit3,digit4,digit5,digit6,P,C,K,S,Pu,Cu,Ku,Su,Unclear
M445624,t111000,Taylor fancied pizza over his favorite food _ Pu=0,655,1,1,1,0,0,0,,,,,1,,,,
M062933,t111000,Preferred pizza on this day _ Pu=0,2007,1,1,1,0,0,0,,,,,1,,,,
M397093,t110110,They wanted a hot dog _ Pu=1,868,1,1,0,1,1,0,,,,,1,,,,
M064846,t010011,Charlie knows the area well _ K=1,253,0,1,0,0,1,1,,,1,,,,,,
M943977,t000111,"This, too, is irrational. He was put off by the look of the pizzas. _ Su=0",1718,0,0,0,1,1,1,,,,,,,,1,
M682432,t101001,Maybe the hot dog stand had run out of food and they had to go for the next best option _ Su=0,1447,1,0,1,0,0,1,,,,,,,,1,
M053971,t101101,They wanted a sporty challenge _ Cu=1,1144,1,0,1,1,0,1,,1,,,,,,,
M447275,t011011,They wanted to take the long route because they are sporty _ C=1,708,0,1,1,0,1,1,,1,,,,,,,
M244093,t001100,wanted to find alternative to hotdogs _ Pu=0,1234,0,0,1,1,0,0,,,,,1,,,,
M370640,t001010,Brooklyn prefers hotdogs _ P=1,376,0,0,1,0,1,0,1,,,,,,,,
M019572,t001011,Drew took the longest route to the hot dog caravan because he wanted to exercise _ Cu=1,981,0,0,1,0,1,1,,,,,,1,,,
M788090,t110000,was too lazy to walk the extra to get hot dogs _ C=0,422,1,1,0,0,0,0,,1,,,,,,,
M066545,t001100,He likes pizza and this was the shortest way to the pizza stand. _ P=0,1317,0,0,1,1,0,0,,,,1,,,,,
M281767,t100100,Harper wanted to get around the corner in the quickest manner possible and then he got a pizza when he saw the truck. _ S=0,244,1,0,0,1,0,0,,,,1,,,,,
M547545,t010000,Charlie chose the closest one _ C=0,354,0,1,0,0,0,0,,,,1,,,,,
M001033,t101011,They don't know the area well so went round the estate. _ K=0,644,1,0,1,0,1,1,,,1,,,,,,
M380199,t111010,Taylor was hungry for hot dogs. _ Pu=1,445,1,1,1,0,1,0,,,,,,,,1,
M160205,t000110,He just went to the nearest food stand because he is lazy _ C=0,1576,0,0,0,1,1,0,,1,,,,,,,
M068961,t101101,He wanted to see what other food stands were around so he walked around the neighbourhood. _ Ku=1,200,1,0,1,1,0,1,,,,,,,1,,
M030284,t101011,He was going for a run and saw the hot dog stand _ Cu=1,1747,1,0,1,0,1,1,,1,,,,,,,
M950776,t001101,Brooklyn wanted to consider the food options before walking to the pizza stand. _ Pu=0,920,0,0,1,1,0,1,,,,,,,1,,
M833871,t011010,"Drew knew there was a hot dog van on the next corner, and whilst they were near the pizza van, decided to walk to the hot dog van as this is what he wanted to eat on this occasion. _ Pu=1",1174,0,1,1,0,1,0,,,1,,,,,,
M081743,t101001,Jesse decided to take the longer route as they are sporty. _ C=1,1804,1,0,1,0,0,1,,1,,,,,,,
M637969,t111011,They wanted to take the long route because they are sporty _ C=1,844,1,1,1,0,1,1,,1,,,,,,,
M302180,t000000,Adrian is interested in convenience and does not want to travel far. _ C=0,191,0,0,0,0,0,0,,,,,,1,,,
M008766,t011000,He can see the pizza stand _ S=0,1361,0,1,1,0,0,0,,,,1,,,,,
M368421,t100011,They didn't think to look up a hot dog place on their phone or ask the other vendor. _ K=0,1833,1,0,0,0,1,1,,,,,,,,,1
M885625,t011000,he was very hungry _ Su=1,1733,0,1,1,0,0,0,,,,,,,,1,
M001177,t010110,Charlie went to the nearest food stall because he is lazy _ C=0,104,0,1,0,1,1,0,,1,,,,,,,
M339130,t100101,He didn't want hot dogs and therefore kept walking to find something else to eat _ Pu=0,1966,1,0,0,1,0,1,,,,,,,1,,
M015369,t101011,As he does not know the area he did not bother to walk more and the pizza did not tempt him because he really wanted to eat hot dog _ Pu=1,1475,1,0,1,0,1,1,,,,,1,,,,
M087823,t110011,"Parker loves hot dogs so much, that they were willing to walk a little bit further to get to the hot dog stand today. _ P=1",2060,1,1,0,0,1,1,,,,,,1,,,
M004946,t110101,He was in the mood for pizza _ Pu=0,1858,1,1,0,1,0,1,,,,,1,,,,
M928115,t001110,Brooklyn took the longer route as he wasn't familiar with the area _ K=0,1680,0,0,1,1,1,0,,,1,,,,,,
,t001010,he did not know the area well enough. _ K=0,1784,0,0,1,0,1,0,,,1,,,,,,
M273009,t010000,It was nearest and they are lazy. _ C=0,849,0,1,0,0,0,0,,,,1,,,,,
M248419,t010110,This was the closest food place. _ S=0,912,0,1,0,1,1,0,,,,1,,,,,
M785342,t001001,because they are sporty so enjoy extra walking _ C=1,141,0,0,1,0,0,1,,1,,,,,,,
M995268,t110101,"Parker got to the hot dog stand using the most direct route but found that they were out of stock, so he continued on to the pizza stand instead. _ Su=0",513,1,1,0,1,0,1,,,,,,,,,1
M697784,t111010,Walk to the left and then up the road. _ Unclear,1210,1,1,1,0,1,0,,,,,,,,,1
M072144,t110100,They knew where the pizza truck was and felt like having pizza even though it was further away than the hot dog truck. _ Pu=0,1817,1,1,0,1,0,0,,,1,,,,,,
M295035,t101010,just happen to see a hot dog when trying to familiarise the area _ Ku=1,525,1,0,1,0,1,0,,,,1,,,,,
M556836,t100111,He wanted to learn his way around the neighbourhood so he took the long route _ Ku=1,530,1,0,0,1,1,1,,,,,,,1,,
M036671,t011011,He prefers to walk before eating. _ C=1,276,0,1,1,0,1,1,,,,,,1,,,
M920418,t001101,longer way round but direct _ Unclear,429,0,0,1,1,0,1,,,,,,,,,1
M740010,t011001,that he wanted to explore before eating _ Ku=1,112,0,1,1,0,0,1,,,,,,,1,,
M015403,t000011,"Adrian really doesn't like pizza, even though he's lazy he held out hope that there would be other food options and, after walking around the area he doesn't know luckily stumbled upon a hot dog stand, a food which he does tolerate. _ P=1",952,0,0,0,0,1,1,,,,,,,,1,
M061655,t111000,Taylor goes to the pizza stand as he is very hungry _ Su=1,811,1,1,1,0,0,0,,,,,,,,1,
M047399,t000001,Adrian wanted to get to know the area. _ Ku=1,1423,0,0,0,0,0,1,,,,,,,1,,
M833871,t111000,"Taylor would know there is a hot dog truck round the corner, and does not seem to be lazy. I think it is likely that Taylor just wanted pizza this day. _ Pu=0",1173,1,1,1,0,0,0,,,,,1,,,,
M920418,t011110,closest to the hot dog _ S=1,432,0,1,1,1,1,0,,,,1,,,,,
M784724,t101101,he likes hot dogs but does not mean he wanted to eat hot dogs at that moment so went to pizza instead _ Pu=0,1493,1,0,1,1,0,1,,,,,1,,,,
M060188,t011010,Today they wanted a hotdog _ Pu=1,1727,0,1,1,0,1,0,,,,,1,,,,
M073342,t111010,Taylor knows the area and went to their favourite spot _ K=1,2012,1,1,1,0,1,0,,,1,,,,,,
M064601,t001000,Brooklyn was hungry and wanted pizza. _ Pu=0,84,0,0,1,0,0,0,,,,,,,,1,
M003175,t001010,"Brooklyn saw the pizza truck but wanted to go around the block and explore the area, as he was feeling in the mood to walk a bit. He ended up going in the opposite direction to the pizza truck and found hot dogs on the way _ Cu=1",1308,0,0,1,0,1,0,,,,,,,1,,
M025532,t001001,Brooklyn got lost _ K=0,1342,0,0,1,0,0,1,,,,,,,,1,
M389494,t101011,They were sporty so didn't mind walking until they found their favourite food _ C=1,562,1,0,1,0,1,1,,1,,,,,,,
M066700,t101001,They see the pizza van but do not want to eat yet. They are not ready to eat when they pass the hot dog van so carry on back to the pizza van. Although hot dog is their favourite this does not necessarily mean they want that all the time - sometimes variety is good. _ Pu=0,412,1,0,1,0,0,1,,,,,1,,,,
M807351,t001111,Happy to walk to see whats available at both stalls _ Ku=1,1293,0,0,1,1,1,1,,,,,,,1,,
M445624,t100110,Harpers favorite food is hot dogs _ P=1,652,1,0,0,1,1,0,1,,,,,,,,
M593309,t001110,he was unfamiliar with the area and stopped at the nearest food stand due to being hungry _ K=0,396,0,0,1,1,1,0,,,,,,,,1,
M010509,t111101,Taylor wanted to walk more because he is sporty _ C=1,466,1,1,1,1,0,1,,1,,,,,,,
M606565,t100110,Walked from his friends house to get a hot dog for tea. _ Pu=1,1951,1,0,0,1,1,0,,,,,,,,,1
M339130,t010010,As it was the quickest way to the hot dog stand and he didn't want pizza _ Pu=1,1965,0,1,0,0,1,0,,,,1,,,,,
M019551,t111001,Maybe they had run out of hot dogs if he'd gone all the way past the hot dog stand and come back towards the pizza. _ Su=0,1644,1,1,1,0,0,1,,,,,,,,1,
M097520,t111010,Their favourite food is hot dogs and they could see it around the corner _ P=1,1793,1,1,1,0,1,0,1,,,,,,,,
M235409,t010110,"It's a similar distance to each stand, they must like hotdogs more than pizza _ P=1",765,0,1,0,1,1,0,1,,,,,,,,
M227214,t000110,They don't know the area well so went straight to the stand they could see _ K=0,1868,0,0,0,1,1,0,,,,1,,,,,
M020165,t110001,Parker is trying to exercise more and stop being lazy. _ Cu=1,147,1,1,0,0,0,1,,,,,,1,,,
M085827,t111001,He wanted hot dogs but decided to burn more calories jogging to the pizza stand. _ Unclear,1227,1,1,1,0,0,1,,,,,,1,,,
M007369,t000010,He did not want to eat pizza. _ Pu=1,287,0,0,0,0,1,0,,,,,1,,,,
M019451,t110010,It's the fastest route. _ C=0,1008,1,1,0,0,1,0,,,,1,,,,,
M368421,t011111,He was burning off more calories before a high calorie food. _ C=1,1835,0,1,1,1,1,1,,,,,,1,,,
M096147,t010110,He knows where the hot dog stand is and wanted a hot dog _ K=1,661,0,1,0,1,1,0,,,,,1,,,,
M124396,t011110,it's the quickest _ C=0,1557,0,1,1,1,1,0,,,,1,,,,,
M813935,t110011,He must have gone visiting or doing something else at the other direction. _ Su=1,773,1,1,0,0,1,1,,,,,,,,1,
M440728,t001011,He wanted to explore the area before eating. _ Ku=1,17,0,0,1,0,1,1,,,,,,,1,,
M007251,t010110,They are lazy _ C=0,1192,0,1,0,1,1,0,,1,,,,,,,
M052561,t001011,He took the longer path as he is sporty _ C=1,2049,0,0,1,0,1,1,,1,,,,,,,
M189680,t111000,didnt fancy hotdogs today _ Pu=0,1626,1,1,1,0,0,0,,,,,1,,,,
M069091,t011000,His favourite food is pizza. _ P=0,403,0,1,1,0,0,0,1,,,,,,,,
M657229,t011101,drew wanted exercise so took the long route _ Cu=1,622,0,1,1,1,0,1,,,,,,1,,,
M519454,t001111,Brooklyn is happy to get some exercise on the way to the hot dog stand and may have taken the same route regardless. _ Cu=1,1272,0,0,1,1,1,1,,,,,,1,,,
M188273,t100010,Harper just followed the road and bought hot dogs from the first shop they saw _ S=1,1649,1,0,0,0,1,0,,,,1,,,,,
M978587,t111101,because its the fastest route to get the sales point _ C=0,1052,1,1,1,1,0,1,,,,1,,,,,
M091317,t011011,Drew chose this path because they are sporty _ C=1,43,0,1,1,0,1,1,,1,,,,,,,
